target_id,pdb_id,native_path
R1107,7QR4,data/casp15_rna/natives/R1107_7QR4.pdb
R1108,7QR3,data/casp15_rna/natives/R1108_7QR3.pdb
R1116,8S95,data/casp15_rna/natives/R1116_8S95.pdb
R1117,8FZA,data/casp15_rna/natives/R1117_8FZA.pdb
R1126,8TVZ,data/casp15_rna/natives/R1126_8TVZ.pdb
R1128,8BTZ,data/casp15_rna/natives/R1128_8BTZ.pdb
R1136,7ZJ4,data/casp15_rna/natives/R1136_7ZJ4.pdb
R1138,7PTK,data/casp15_rna/natives/R1138_7PTK.pdb
R1149,8UYS,data/casp15_rna/natives/R1149_8UYS.pdb
R1156,8UYE,data/casp15_rna/natives/R1156_8UYE.pdb
