heldout_oracle_group,method,targets,mean_best_of_k_tm_like,mean_tm_like_regret,oracle_hit_rate
TS128,contact_topology_tuned,2,0.23218994025513046,0.023119227024144054,0.5
TS128,compact,2,0.05556860212502625,0.19974056515424823,0.0
TS128,low_clash,2,0.05480791477005245,0.20050125250922204,0.0
TS128,contact,2,0.0357879631310133,0.2195212041482612,0.0
TS128,hybrid,2,0.0357879631310133,0.2195212041482612,0.0
TS232,contact_topology_tuned,7,0.2166937434582514,0.16283274475602763,0.0
TS232,low_clash,7,0.1447630266128188,0.2347634616014602,0.0
TS232,contact,7,0.07040252699331788,0.30912396122096114,0.0
TS232,hybrid,7,0.06631512970264718,0.31321135851163184,0.0
TS232,compact,7,0.06606591024019601,0.313460577974083,0.0
TS285,contact_topology_tuned,1,0.0568951096984086,0.023923076244497805,0.0
TS285,contact,1,0.0529940161235115,0.02782416981939491,0.0
TS285,hybrid,1,0.0529940161235115,0.02782416981939491,0.0
TS285,low_clash,1,0.0387984310738092,0.0420197548690972,0.0
TS285,compact,1,0.0216792294631136,0.05913895647979281,0.0
