heldout_oracle_group,params,n_estimators,max_depth,learning_rate,min_samples_leaf,inner_targets,inner_mean_best_of_k_tm_like,inner_mean_tm_like_regret,inner_oracle_hit_rate
TS128,ne80_d1_lr0.03_leaf1,80,1,0.03,1,8,0.20003435794994906,0.14215359248040838,0.25
TS128,ne80_d1_lr0.03_leaf4,80,1,0.03,4,8,0.20003435794994906,0.14215359248040838,0.25
TS128,ne80_d1_lr0.05_leaf1,80,1,0.05,1,8,0.21851315113798175,0.12367479929237571,0.375
TS128,ne80_d1_lr0.05_leaf4,80,1,0.05,4,8,0.21851315113798175,0.12367479929237571,0.375
TS128,ne80_d2_lr0.03_leaf1,80,2,0.03,1,8,0.20776670643271936,0.13442124399763808,0.125
TS128,ne80_d2_lr0.03_leaf4,80,2,0.03,4,8,0.20776670643271936,0.13442124399763808,0.125
TS128,ne80_d2_lr0.05_leaf1,80,2,0.05,1,8,0.2080882156710489,0.13409973475930853,0.125
TS128,ne80_d2_lr0.05_leaf4,80,2,0.05,4,8,0.20335911063789883,0.1388288397924586,0.0
TS128,ne160_d1_lr0.03_leaf1,160,1,0.03,1,8,0.18162800294547604,0.16055994748488142,0.25
TS128,ne160_d1_lr0.03_leaf4,160,1,0.03,4,8,0.18162800294547604,0.16055994748488142,0.25
TS128,ne160_d1_lr0.05_leaf1,160,1,0.05,1,8,0.2077033942224054,0.13448455620795202,0.25
TS128,ne160_d1_lr0.05_leaf4,160,1,0.05,4,8,0.2077033942224054,0.13448455620795202,0.25
TS128,ne160_d2_lr0.03_leaf1,160,2,0.03,1,8,0.2069179197848545,0.13527003064550297,0.125
TS128,ne160_d2_lr0.03_leaf4,160,2,0.03,4,8,0.21404121084517078,0.12814673958518666,0.25
TS128,ne160_d2_lr0.05_leaf1,160,2,0.05,1,8,0.20855258877210647,0.133635361658251,0.25
TS128,ne160_d2_lr0.05_leaf4,160,2,0.05,4,8,0.21404121084517078,0.12814673958518666,0.25
