heldout_oracle_group,params,n_estimators,max_depth,learning_rate,min_samples_leaf,inner_targets,inner_mean_best_of_k_tm_like,inner_mean_tm_like_regret,inner_oracle_hit_rate
TS128,ne80_d1_lr0.03_leaf1,80,1,0.03,1,8,0.18995060710949346,0.15223734332086397,0.5
TS128,ne80_d1_lr0.03_leaf4,80,1,0.03,4,8,0.18995060710949346,0.15223734332086397,0.5
TS128,ne80_d1_lr0.05_leaf1,80,1,0.05,1,8,0.17956094167226513,0.16262700875809233,0.25
TS128,ne80_d1_lr0.05_leaf4,80,1,0.05,4,8,0.17956094167226513,0.16262700875809233,0.25
TS128,ne80_d2_lr0.03_leaf1,80,2,0.03,1,8,0.20717799471863976,0.1350099557117177,0.25
TS128,ne80_d2_lr0.03_leaf4,80,2,0.03,4,8,0.20717799471863976,0.1350099557117177,0.25
TS128,ne80_d2_lr0.05_leaf1,80,2,0.05,1,8,0.22610230237639092,0.11608564805396653,0.375
TS128,ne80_d2_lr0.05_leaf4,80,2,0.05,4,8,0.22138214069055148,0.12080580973980597,0.375
TS128,ne160_d1_lr0.03_leaf1,160,1,0.03,1,8,0.17970340797213902,0.16248454245821842,0.25
TS128,ne160_d1_lr0.03_leaf4,160,1,0.03,4,8,0.17970340797213902,0.16248454245821842,0.25
TS128,ne160_d1_lr0.05_leaf1,160,1,0.05,1,8,0.22003234050136897,0.12215560992898847,0.375
TS128,ne160_d1_lr0.05_leaf4,160,1,0.05,4,8,0.22003234050136897,0.12215560992898847,0.375
TS128,ne160_d2_lr0.03_leaf1,160,2,0.03,1,8,0.21308738266757188,0.12910056776278558,0.25
TS128,ne160_d2_lr0.03_leaf4,160,2,0.03,4,8,0.21530311930298288,0.1268848311273746,0.25
TS128,ne160_d2_lr0.05_leaf1,160,2,0.05,1,8,0.22047308495279996,0.1217148654775575,0.25
TS128,ne160_d2_lr0.05_leaf4,160,2,0.05,4,8,0.22047308495279996,0.1217148654775575,0.25
TS128,ne240_d1_lr0.03_leaf1,240,1,0.03,1,8,0.22003234050136897,0.12215560992898847,0.375
TS128,ne240_d1_lr0.03_leaf4,240,1,0.03,4,8,0.22003234050136897,0.12215560992898847,0.375
TS128,ne240_d1_lr0.05_leaf1,240,1,0.05,1,8,0.2203910408177571,0.12179690961260034,0.375
TS128,ne240_d1_lr0.05_leaf4,240,1,0.05,4,8,0.2203910408177571,0.12179690961260034,0.375
TS128,ne240_d2_lr0.03_leaf1,240,2,0.03,1,8,0.21353718663154952,0.12865076379880794,0.25
TS128,ne240_d2_lr0.03_leaf4,240,2,0.03,4,8,0.2207813491004106,0.12140660132994682,0.375
TS128,ne240_d2_lr0.05_leaf1,240,2,0.05,1,8,0.1787326502097445,0.16345530022061294,0.25
TS128,ne240_d2_lr0.05_leaf4,240,2,0.05,4,8,0.1787326502097445,0.16345530022061294,0.25
TS232,ne80_d1_lr0.03_leaf1,80,1,0.03,1,3,0.17324024433681126,0.023905262497007206,0.3333333333333333
TS232,ne80_d1_lr0.03_leaf4,80,1,0.03,4,3,0.18865306235290732,0.008492444480911169,0.6666666666666666
TS232,ne80_d1_lr0.05_leaf1,80,1,0.05,1,3,0.17324024433681126,0.023905262497007206,0.3333333333333333
TS232,ne80_d1_lr0.05_leaf4,80,1,0.05,4,3,0.18865306235290732,0.008492444480911169,0.6666666666666666
TS232,ne80_d2_lr0.03_leaf1,80,2,0.03,1,3,0.1302564748950806,0.06688903193873787,0.3333333333333333
TS232,ne80_d2_lr0.03_leaf4,80,2,0.03,4,3,0.18865306235290732,0.008492444480911169,0.6666666666666666
TS232,ne80_d2_lr0.05_leaf1,80,2,0.05,1,3,0.1302564748950806,0.06688903193873787,0.3333333333333333
TS232,ne80_d2_lr0.05_leaf4,80,2,0.05,4,3,0.18865306235290732,0.008492444480911169,0.6666666666666666
TS232,ne160_d1_lr0.03_leaf1,160,1,0.03,1,3,0.17324024433681126,0.023905262497007206,0.3333333333333333
TS232,ne160_d1_lr0.03_leaf4,160,1,0.03,4,3,0.18865306235290732,0.008492444480911169,0.6666666666666666
TS232,ne160_d1_lr0.05_leaf1,160,1,0.05,1,3,0.17324024433681126,0.023905262497007206,0.3333333333333333
TS232,ne160_d1_lr0.05_leaf4,160,1,0.05,4,3,0.18865306235290732,0.008492444480911169,0.6666666666666666
TS232,ne160_d2_lr0.03_leaf1,160,2,0.03,1,3,0.13418927624150115,0.06295623059231731,0.3333333333333333
TS232,ne160_d2_lr0.03_leaf4,160,2,0.03,4,3,0.18865306235290732,0.008492444480911169,0.6666666666666666
TS232,ne160_d2_lr0.05_leaf1,160,2,0.05,1,3,0.17324024433681126,0.023905262497007206,0.3333333333333333
TS232,ne160_d2_lr0.05_leaf4,160,2,0.05,4,3,0.18865306235290732,0.008492444480911169,0.6666666666666666
TS232,ne240_d1_lr0.03_leaf1,240,1,0.03,1,3,0.17324024433681126,0.023905262497007206,0.3333333333333333
TS232,ne240_d1_lr0.03_leaf4,240,1,0.03,4,3,0.18865306235290732,0.008492444480911169,0.6666666666666666
TS232,ne240_d1_lr0.05_leaf1,240,1,0.05,1,3,0.17324024433681126,0.023905262497007206,0.3333333333333333
TS232,ne240_d1_lr0.05_leaf4,240,1,0.05,4,3,0.18865306235290732,0.008492444480911169,0.6666666666666666
TS232,ne240_d2_lr0.03_leaf1,240,2,0.03,1,3,0.17140029709563098,0.025745209738187502,0.3333333333333333
TS232,ne240_d2_lr0.03_leaf4,240,2,0.03,4,3,0.18865306235290732,0.008492444480911169,0.6666666666666666
TS232,ne240_d2_lr0.05_leaf1,240,2,0.05,1,3,0.17324024433681126,0.023905262497007206,0.3333333333333333
TS232,ne240_d2_lr0.05_leaf4,240,2,0.05,4,3,0.18865306235290732,0.008492444480911169,0.6666666666666666
TS285,ne80_d1_lr0.03_leaf1,80,1,0.03,1,9,0.1704907170036677,0.18143192211394366,0.1111111111111111
TS285,ne80_d1_lr0.03_leaf4,80,1,0.03,4,9,0.1704907170036677,0.18143192211394366,0.1111111111111111
TS285,ne80_d1_lr0.05_leaf1,80,1,0.05,1,9,0.17522034733960495,0.1767022917780064,0.1111111111111111
TS285,ne80_d1_lr0.05_leaf4,80,1,0.05,4,9,0.17522034733960495,0.1767022917780064,0.1111111111111111
TS285,ne80_d2_lr0.03_leaf1,80,2,0.03,1,9,0.19799163246733587,0.15393100665027548,0.2222222222222222
TS285,ne80_d2_lr0.03_leaf4,80,2,0.03,4,9,0.18294966391505169,0.16897297520255966,0.2222222222222222
TS285,ne80_d2_lr0.05_leaf1,80,2,0.05,1,9,0.20546704292613424,0.1464555961914771,0.2222222222222222
TS285,ne80_d2_lr0.05_leaf4,80,2,0.05,4,9,0.2066258192840957,0.1452968198335156,0.2222222222222222
TS285,ne160_d1_lr0.03_leaf1,160,1,0.03,1,9,0.19317148131558476,0.1587511578020266,0.3333333333333333
TS285,ne160_d1_lr0.03_leaf4,160,1,0.03,4,9,0.19317148131558476,0.1587511578020266,0.3333333333333333
TS285,ne160_d1_lr0.05_leaf1,160,1,0.05,1,9,0.22041956544454827,0.13150307367306308,0.2222222222222222
TS285,ne160_d1_lr0.05_leaf4,160,1,0.05,4,9,0.22041956544454827,0.13150307367306308,0.2222222222222222
TS285,ne160_d2_lr0.03_leaf1,160,2,0.03,1,9,0.1955480925672472,0.15637454655036415,0.2222222222222222
TS285,ne160_d2_lr0.03_leaf4,160,2,0.03,4,9,0.2043278091687795,0.14759482994883188,0.2222222222222222
TS285,ne160_d2_lr0.05_leaf1,160,2,0.05,1,9,0.1658911175499013,0.18603152156771005,0.1111111111111111
TS285,ne160_d2_lr0.05_leaf4,160,2,0.05,4,9,0.17582961050939505,0.1760930286082163,0.1111111111111111
