casp_group,candidates,targets_covered,mean_tm_like,median_tm_like,max_tm_like,mean_multi_metric,max_multi_metric,mean_clashes,mean_contact_density,mean_compactness,tm_like_oracle_count,multi_metric_oracle_count
TS232,50,10,0.23563331143106747,0.24150544061698426,0.6167446374930202,0.38316123201552527,0.6701934772860643,0.0,0.056968415187617964,5.5068330889912644,7,7
TS128,45,9,0.08654253937433495,0.0385578517039134,0.3122236040249385,0.25741207641714453,0.4891838747263018,5.9417706476528886e-05,0.05874509915727352,5.310992256914358,2,2
TS285,20,4,0.03052882356684424,0.02022933956552225,0.0808181859429064,0.15119243044864397,0.1827679213960194,0.0,0.05615377748347492,3.8230623861494584,1,1
TS287,50,10,0.12123438151639515,0.07010017984554226,0.4082507801924531,0.28295316630983,0.5178847462555293,0.0,0.051652899337000964,5.067698386782988,0,0
TS325,5,1,0.3925571253256255,0.3925571253256255,0.3925571253256255,0.5110947208490398,0.5110947208490398,0.0,0.0158133933563676,6.86146325153963,0,0
TS347,5,1,0.3925571253256255,0.3925571253256255,0.3925571253256255,0.5110947208490398,0.5110947208490398,0.0,0.0158133933563676,6.86146325153963,0,0
TS456,5,1,0.3925571253256255,0.3925571253256255,0.3925571253256255,0.5110947208490398,0.5110947208490398,0.0,0.0158133933563676,6.86146325153963,0,0
TS416,50,10,0.08872614711702038,0.0444873878248418,0.3037809031464024,0.24636127853445938,0.4419818240290035,5.347593582887599e-05,0.05063899683739379,5.138574348280255,0,0
TS470,50,10,0.07366653819592597,0.0357807966467894,0.2837530680034877,0.20573068356504268,0.4304743104498492,0.001101954026977008,0.053681386028188796,6.87069229417842,0,0
TS489,50,10,0.0738779576086205,0.0359112660426499,0.2837530680034877,0.206627153853424,0.4304743104498492,0.0015296619106779442,0.05351170330910895,6.783121141367986,0,0
TS081,46,10,0.10263166036378632,0.09679163439677285,0.2701325387763326,0.2692215053890897,0.4496246117430778,0.0,0.05100001744893037,5.325205563940436,0,0
TS239,39,8,0.041489538572565626,0.034052121115707,0.2432441995876257,0.18692938592666702,0.4369819691685763,0.005895095199908028,0.042469420039683126,6.459046829883207,0,0
TS439,45,9,0.043272296500417494,0.0326963266521771,0.2432441995876257,0.19300935679831177,0.4369819691685763,9.337068160597554e-05,0.05040822159410604,5.3024586004691985,0,0
TS444,15,3,0.06715380967077778,0.0286113995557255,0.2432441995876257,0.20704958755729236,0.4369819691685763,0.0010749203262572199,0.0821876367203243,6.2747805637984415,0,0
TS229,50,10,0.05514734791196806,0.042412689803850906,0.2432283750615946,0.20082816929066571,0.4369716832266562,0.008444444444444442,0.053326153834810215,6.114449370240852,0,0
TS238,26,10,0.04861176312507735,0.038688282566143956,0.222001754707218,0.1454444102446,0.4220789183374696,0.15073569757609737,0.09467228998333087,11.531939302086222,0,0
TS110,31,7,0.05278072702570456,0.0319736450652169,0.2120491534967702,0.22659153370098603,0.3729588533262001,0.0006900120752113128,0.05549223737529497,4.5696543026782885,0,0
TS035,50,10,0.035198357150786765,0.020801213497199197,0.2042887260541035,0.15785173287845308,0.3747231558061351,0.0,0.05197168460424537,4.679053788292138,0,0
TS125,50,10,0.06078873331075921,0.041004618716482,0.200549307948761,0.2169373683179615,0.3760174275251852,0.0,0.04955863254785897,5.245121489469593,0,0
TS054,50,10,0.06737279066812443,0.047879855426170445,0.1822338708863499,0.23259564281948036,0.3578559895860613,0.0,0.052337069166897156,5.455268951867007,0,0
TS163,13,5,0.06237197010487972,0.0492623627480973,0.1361076626634874,0.20690781168895356,0.3452597684751957,0.0,0.11700123117079106,3.3622202252746236,0,0
TS119,50,10,0.03997207026704311,0.03138959257941555,0.1218668685660063,0.19987937369088227,0.2948958953446745,0.0,0.04422769121904027,5.221930429204866,0,0
TS076,45,9,0.030027669817927267,0.0267636118228286,0.1095733603495124,0.17446521479856097,0.306706555194925,0.0,0.03992152703500043,5.31269216276067,0,0
TS185,40,8,0.04169781497017521,0.03644855293047515,0.1084492901094918,0.16582089575888828,0.3284630530639233,0.0,0.03886989537430714,6.190473881824119,0,0
TS235,47,10,0.04113663812914127,0.0385704890148056,0.1033781773707882,0.1852098155217039,0.3263300910942798,0.0,0.059813469387688674,4.86782475017245,0,0
TS248,50,10,0.029011004352336597,0.0186718261666836,0.0992236907023359,0.1567302700021863,0.3117176211787406,0.0,0.05431155733015671,4.603369194519589,0,0
TS029,32,10,0.02287877203255348,0.0215765735088575,0.0938280939677696,0.08749784617858382,0.3189321863126951,0.0003150376312141,0.043445445963711006,5.937362487771005,0,0
TS046,5,1,0.08440275966258089,0.0836114017779724,0.0938131795467769,0.297542826491161,0.3121413574030794,0.0,0.19566502463054186,2.2334990687101106,0,0
TS392,41,9,0.03345632935411738,0.0268304145198138,0.0817186595239579,0.16907609096785692,0.2937262657464102,0.0,0.052709985952423564,4.816243865563272,0,0
TS227,49,10,0.0268196353238021,0.0262743164224854,0.0561211429657064,0.16820937512261785,0.259748552355994,0.0,0.04166800996215975,4.748419328361558,0,0
TS245,46,10,0.023356776835226266,0.020926096717918348,0.0560703297240799,0.11050419721075118,0.1824981043644408,0.0,0.046320021462386035,5.216512025474816,0,0
TS434,49,10,0.02693291875714824,0.0255089694708886,0.0538776498776086,0.16546055390872813,0.2586173458547666,0.0,0.041436932564932895,4.709969546478488,0,0
TS147,50,10,0.027318235468356447,0.02658923348128655,0.0514345320206594,0.169262736766528,0.2555118330515676,0.0,0.043031269015735896,4.699075387194943,0,0
TS385,29,9,0.02072389383359431,0.0187969583557071,0.0510048251210671,0.10825610446875844,0.1833173395616017,0.0,0.07012287957565244,4.0043347776997695,0,0
TS490,5,1,0.024859315976654462,0.0229809232218818,0.0351395995018217,0.04336087417886278,0.0524689572832721,0.0,0.0160357974521711,7.961614008260996,0,0
TS177,8,8,0.016964425934176013,0.0168259586564073,0.031537182546982,0.0727145349993304,0.1793404013935995,0.0,0.06501324932221357,5.483784957470237,0,0
TS097,21,10,0.012114652608762357,0.0117636206981673,0.0262613077109393,0.04807514361551416,0.1505560885442206,0.0,0.018921881399773313,4.580969738274456,0,0
TS131,50,10,0.005373828863078496,0.00355630821208285,0.0241768573014163,0.02297582750431218,0.1484248859210134,0.0,0.04033943470420188,2.0748298217781356,0,0
TS091,30,6,0.0023508863977475133,0.0023057959913324,0.0037386024311479,0.00863996568008821,0.0339014392978711,0.0,0.04676349328232824,1.3153784245239644,0,0
