method,casp_group,topk_selection_count,top1_selection_count,selected_best_count,oracle_count,topk_minus_oracle,top1_minus_oracle
compact,TS238,7,3,0,0,7,3
compact,TS029,5,0,0,0,5,0
compact,TS385,5,1,0,0,5,1
compact,TS177,4,3,0,0,4,3
compact,TS235,4,1,2,0,4,1
compact,TS470,4,0,2,0,4,0
compact,TS489,4,0,1,0,4,0
compact,TS229,3,0,1,0,3,0
compact,TS248,3,0,1,0,3,0
compact,TS054,2,0,0,0,2,0
compact,TS245,2,0,1,0,2,0
compact,TS285,1,1,0,1,0,0
compact,TS125,1,0,1,0,1,0
compact,TS163,1,1,1,0,1,1
compact,TS239,1,0,0,0,1,0
compact,TS392,1,0,0,0,1,0
compact,TS416,1,0,0,0,1,0
compact,TS444,1,0,0,0,1,0
compact,TS232,0,0,0,7,-7,-7
compact,TS128,0,0,0,2,-2,-2
contact,TS238,17,4,6,0,17,4
contact,TS029,4,0,0,0,4,0
contact,TS163,4,0,1,0,4,0
contact,TS177,4,3,0,0,4,3
contact,TS235,4,1,1,0,4,1
contact,TS470,3,0,0,0,3,0
contact,TS489,3,0,1,0,3,0
contact,TS128,2,0,0,2,0,-2
contact,TS125,2,0,0,0,2,0
contact,TS285,1,1,0,1,0,0
contact,TS054,1,0,1,0,1,0
contact,TS229,1,0,0,0,1,0
contact,TS248,1,0,0,0,1,0
contact,TS385,1,1,0,0,1,1
contact,TS392,1,0,0,0,1,0
contact,TS416,1,0,0,0,1,0
contact,TS232,0,0,0,7,-7,-7
hybrid,TS238,12,3,4,0,12,3
hybrid,TS163,5,1,1,0,5,1
hybrid,TS029,4,0,0,0,4,0
hybrid,TS177,4,3,0,0,4,3
hybrid,TS470,4,0,1,0,4,0
hybrid,TS489,4,0,1,0,4,0
hybrid,TS235,3,1,1,0,3,1
hybrid,TS128,2,0,0,2,0,-2
hybrid,TS125,2,0,0,0,2,0
hybrid,TS229,2,0,1,0,2,0
hybrid,TS285,1,1,0,1,0,0
hybrid,TS054,1,0,1,0,1,0
hybrid,TS239,1,0,0,0,1,0
hybrid,TS248,1,0,0,0,1,0
hybrid,TS385,1,1,0,0,1,1
hybrid,TS392,1,0,0,0,1,0
hybrid,TS416,1,0,0,0,1,0
hybrid,TS444,1,0,0,0,1,0
hybrid,TS232,0,0,0,7,-7,-7
low_clash,TS029,10,10,1,0,10,10
low_clash,TS239,10,0,3,0,10,0
low_clash,TS248,9,0,0,0,9,0
low_clash,TS287,8,0,4,0,8,0
low_clash,TS245,6,0,1,0,6,0
low_clash,TS385,3,0,0,0,3,0
low_clash,TS238,2,0,0,0,2,0
low_clash,TS285,1,0,0,1,0,-1
low_clash,TS229,1,0,1,0,1,0
low_clash,TS232,0,0,0,7,-7,-7
low_clash,TS128,0,0,0,2,-2,-2
