oracle_type,method,targets,mean_best_of_k_quality,mean_best_of_k_multi_metric,mean_quality_regret,mean_multi_metric_regret,mean_rmsd_regret,oracle_hit_rate
tm_like,low_clash,10,0.47413,0.3460457024337996,0.13765999999999998,0.07168780687853968,0.31799999999999995,0.0
multi_metric,low_clash,10,0.47389000000000003,0.3477139191714185,0.12361000000000003,0.10321913798331488,0.43099999999999994,0.1
tm_like,plausibility,10,0.39422999999999997,0.27038694566866106,0.21756000000000003,0.1473465636436783,0.29599999999999993,0.1
multi_metric,plausibility,10,0.38208000000000003,0.2779014974620867,0.21542000000000003,0.17303155969264666,0.679,0.0
tm_like,contact,10,0.31699,0.20799063310260255,0.2948,0.20974287620973678,0.8219999999999998,0.0
tm_like,hybrid,10,0.31218,0.21054227567779332,0.29961000000000004,0.207191233634546,0.651,0.0
multi_metric,contact,10,0.30479,0.2176211058855364,0.29271,0.23331195126919693,1.091,0.0
multi_metric,hybrid,10,0.30017,0.2199736900218579,0.29733,0.2309593671328755,0.9530000000000001,0.0
tm_like,compact,10,0.27477999999999997,0.1745198589065195,0.33701,0.24321365040581985,0.5289999999999999,0.0
multi_metric,compact,10,0.26452,0.18764600153725816,0.33298000000000005,0.26328705561747523,0.8139999999999998,0.0
