method,k,hit@k,random_hit@k,delta,delta_low,delta_high,p_value,survives_holm,targets
hybrid,1,0.0,0.007495790729925002,-0.007495790729925002,-0.00816607471169956,-0.006940659197775892,1.0,False,10
hybrid,2,0.0,0.014991581459850004,-0.014991581459850004,-0.016269291435351902,-0.013906497402255854,1.0,False,10
hybrid,5,0.0,0.037478953649625016,-0.037478953649625016,-0.0409601431913613,-0.034751460827530535,1.0,False,10
hybrid,10,0.10000000000000002,0.07495790729925003,0.025042092700749984,-0.07664330494966126,0.221780532997281,0.49407529623518825,False,10
hybrid,20,0.20000000000000004,0.14991581459850006,0.05008418540149997,-0.14220432833529995,0.3357166173088222,0.32373381330933454,False,10
hybrid,25,0.19999999999999998,0.18739476824812504,0.012605231751874935,-0.17782140993199624,0.2944396710753819,0.43497825108744564,False,10
hybrid,50,0.5,0.3747895364962501,0.1252104635037499,-0.16528888968622424,0.41519459729327013,0.22093895305234737,False,10
hybrid,75,0.8,0.5621843047443752,0.23781569525562488,-0.0364840336600182,0.448611777241895,0.05309734513274336,False,10
hybrid,100,0.8999999999999999,0.7495790729925002,0.1504209270074998,-0.05543705640241954,0.28621358853050366,0.08354582270886456,False,10
contact,1,0.0,0.007495790729925002,-0.007495790729925002,-0.008152835810446723,-0.00695390686869631,1.0,False,10
contact,2,0.0,0.014991581459850004,-0.014991581459850004,-0.01629998960484156,-0.013882854037523536,1.0,False,10
contact,5,0.0,0.037478953649625016,-0.037478953649625016,-0.0406877937111974,-0.03461734663753665,1.0,False,10
contact,10,0.10000000000000002,0.07495790729925003,0.025042092700749984,-0.07640856036592386,0.2224684367465869,0.5069246537673117,False,10
contact,20,0.30000000000000004,0.14991581459850006,0.15008418540149995,-0.13852094359859213,0.44464644203154946,0.14309284535773212,False,10
contact,25,0.3,0.18739476824812504,0.11260523175187495,-0.1746318771790258,0.4010684310830807,0.20998950052497375,False,10
contact,50,0.8,0.3747895364962501,0.4252104635037499,0.1436622939404381,0.6326465698438297,0.013899305034748262,False,10
contact,75,0.9000000000000001,0.5621843047443752,0.33781569525562494,0.1261829117161835,0.46968303099649134,0.010299485025748713,False,10
contact,100,1.0,0.7495790729925002,0.2504209270074998,0.18327400531034202,0.30489624019125083,0.0008999550022498875,True,10
low_clash,1,0.006520271702751004,0.007495790729925002,-0.0009755190271739979,-0.0032730486964735734,0.0007126502828318594,0.7461126943652817,False,10
low_clash,2,0.013040543405502009,0.014991581459850004,-0.0019510380543479957,-0.0064762964742762765,0.0014995074771682138,0.7539123043847807,False,10
low_clash,5,0.03260135851375503,0.037478953649625016,-0.00487759513586999,-0.016125304144612253,0.003729705915096879,0.7483125843707814,False,10
low_clash,10,0.06520271702751006,0.07495790729925003,-0.00975519027173998,-0.03258181567565581,0.007085918805222389,0.7485625718714064,False,10
low_clash,20,0.13040543405502011,0.14991581459850006,-0.01951038054347996,-0.06469252487386233,0.014782166192561919,0.7546622668866557,False,10
low_clash,25,0.1630067925687751,0.18739476824812504,-0.02438797567934995,-0.08215371065345839,0.018498921027126504,0.7496125193740313,False,10
low_clash,50,0.3260135851375502,0.3747895364962501,-0.0487759513586999,-0.16413493015917266,0.03575517059577805,0.752562371881406,False,10
low_clash,75,0.48902037770632534,0.5621843047443752,-0.07316392703804983,-0.23955218167918405,0.054437049820820156,0.7490125493725314,False,10
low_clash,100,0.7520271702751004,0.7495790729925002,0.00244809728260017,-0.16353030297387688,0.11444071871895391,0.49462526873656315,False,10
compact,1,0.0,0.007495790729925002,-0.007495790729925002,-0.008146728480347119,-0.006969805157656759,1.0,False,10
compact,2,0.0,0.014991581459850004,-0.014991581459850004,-0.016303204514000833,-0.013853397315038329,1.0,False,10
compact,5,0.0,0.037478953649625016,-0.037478953649625016,-0.0409297370371879,-0.03475679639817781,1.0,False,10
compact,10,0.0,0.07495790729925003,-0.07495790729925003,-0.08162561253179977,-0.06952595538246416,1.0,False,10
compact,20,0.20000000000000004,0.14991581459850006,0.05008418540149997,-0.14278856451515987,0.33469159194278975,0.32043397830108494,False,10
compact,25,0.19999999999999998,0.18739476824812504,0.012605231751874935,-0.17801605254647668,0.29417361927673513,0.4338283085845708,False,10
compact,50,0.39999999999999997,0.3747895364962501,0.02521046350374989,-0.2568786783278883,0.3118166623695861,0.43487825608719566,False,10
compact,75,0.8,0.5621843047443752,0.23781569525562488,-0.032204756117994705,0.4392092123342427,0.05024748762561872,False,10
compact,100,0.7999999999999999,0.7495790729925002,0.0504209270074998,-0.21879351938900823,0.2626411102723399,0.3534323283835808,False,10
plausibility,1,0.020000000000000004,0.007495790729925002,0.012504209270075001,-0.008057148858764893,0.052860062947923385,0.49947502624868756,False,10
plausibility,2,0.04000000000000001,0.014991581459850004,0.025008418540150002,-0.01606204673144827,0.10576153115118676,0.503574821258937,False,10
plausibility,5,0.10000000000000002,0.037478953649625016,0.062521046350375,-0.0402342285971411,0.2644053688453403,0.4976751162441878,False,10
plausibility,10,0.10000000000000002,0.07495790729925003,0.025042092700749984,-0.08071558355898867,0.22921026246481999,0.4971751412429379,False,10
plausibility,20,0.10000000000000003,0.14991581459850006,-0.04991581459850004,-0.1609475956624246,0.15900522549229432,0.6178691065446728,False,10
plausibility,25,0.09999999999999998,0.18739476824812504,-0.08739476824812506,-0.2020169128161946,0.12067773037545784,0.7556122193890306,False,10
plausibility,50,0.39999999999999997,0.3747895364962501,0.02521046350374987,-0.26060001051734344,0.32327398363843324,0.4470776461176941,False,10
plausibility,75,0.8,0.5621843047443752,0.23781569525562488,-0.04020121199711148,0.44943344189748397,0.0615969201539923,False,10
plausibility,100,1.0,0.7495790729925002,0.2504209270074998,0.18473145470855934,0.30725578447951435,0.0014999250037498126,False,10
