heldout_oracle_group,model,feature,importance
TS128,invariant_gbr,num_residues,0.0008596356382967141
TS128,invariant_gbr,radius_of_gyration,0.0847415204370623
TS128,invariant_gbr,end_to_end_distance,0.11013076764876806
TS128,invariant_gbr,contact_density,0.07265305850912047
TS128,invariant_gbr,long_range_contact_density,0.287222643848468
TS128,invariant_gbr,clashes_per_residue,0.0
TS128,invariant_gbr,backbone_break_fraction,0.0
TS128,invariant_gbr,compactness,0.09722825137983614
TS128,invariant_gbr,score_contact,0.005367201291803327
TS128,invariant_gbr,score_low_clash,0.002668087914965334
TS128,invariant_gbr,score_compact,0.1416692218341916
TS128,invariant_gbr,score_hybrid,0.19745961149748822
TS128,invariant_rf,num_residues,0.0023161079544426946
TS128,invariant_rf,radius_of_gyration,0.12564079675966525
TS128,invariant_rf,end_to_end_distance,0.09271128294058914
TS128,invariant_rf,contact_density,0.06138827813442941
TS128,invariant_rf,long_range_contact_density,0.24046054111163792
TS128,invariant_rf,clashes_per_residue,7.868968030672692e-06
TS128,invariant_rf,backbone_break_fraction,2.496139813734334e-07
TS128,invariant_rf,compactness,0.05445279787528797
TS128,invariant_rf,score_contact,0.027460573817991763
TS128,invariant_rf,score_low_clash,0.00013643272385317399
TS128,invariant_rf,score_compact,0.2512151040837933
TS128,invariant_rf,score_hybrid,0.14420996601629746
TS232,invariant_gbr,num_residues,0.05904893859326559
TS232,invariant_gbr,radius_of_gyration,0.10635196816346928
TS232,invariant_gbr,end_to_end_distance,0.4787051889531831
TS232,invariant_gbr,contact_density,0.08138147196902647
TS232,invariant_gbr,long_range_contact_density,0.06459200185149369
TS232,invariant_gbr,clashes_per_residue,0.0
TS232,invariant_gbr,backbone_break_fraction,0.0
TS232,invariant_gbr,compactness,0.16599122846876774
TS232,invariant_gbr,score_contact,0.023661205033517242
TS232,invariant_gbr,score_low_clash,0.0007069617176034811
TS232,invariant_gbr,score_compact,0.009002026959844985
TS232,invariant_gbr,score_hybrid,0.010559008289828253
TS232,invariant_rf,num_residues,0.100757986438969
TS232,invariant_rf,radius_of_gyration,0.12083278432424349
TS232,invariant_rf,end_to_end_distance,0.38741508997262214
TS232,invariant_rf,contact_density,0.06291446984548744
TS232,invariant_rf,long_range_contact_density,0.07721377132234845
TS232,invariant_rf,clashes_per_residue,0.0
TS232,invariant_rf,backbone_break_fraction,0.0
TS232,invariant_rf,compactness,0.1138653317462668
TS232,invariant_rf,score_contact,0.03601310256127625
TS232,invariant_rf,score_low_clash,0.0
TS232,invariant_rf,score_compact,0.059961582389262816
TS232,invariant_rf,score_hybrid,0.04102588139952351
TS285,invariant_gbr,num_residues,0.00016631245980623478
TS285,invariant_gbr,radius_of_gyration,0.06352095709662034
TS285,invariant_gbr,end_to_end_distance,0.10994898572010806
TS285,invariant_gbr,contact_density,0.06471389034049786
TS285,invariant_gbr,long_range_contact_density,0.22762369064737542
TS285,invariant_gbr,clashes_per_residue,0.0
TS285,invariant_gbr,backbone_break_fraction,0.0
TS285,invariant_gbr,compactness,0.07992067634509853
TS285,invariant_gbr,score_contact,0.007925136699611824
TS285,invariant_gbr,score_low_clash,0.0036032128959866774
TS285,invariant_gbr,score_compact,0.15188523859574526
TS285,invariant_gbr,score_hybrid,0.29069189919914984
TS285,invariant_rf,num_residues,0.0032060116156164145
TS285,invariant_rf,radius_of_gyration,0.11943479610591842
TS285,invariant_rf,end_to_end_distance,0.1108743501684584
TS285,invariant_rf,contact_density,0.028962061464487758
TS285,invariant_rf,long_range_contact_density,0.15174917933605217
TS285,invariant_rf,clashes_per_residue,6.542797118427813e-07
TS285,invariant_rf,backbone_break_fraction,1.612653391594551e-05
TS285,invariant_rf,compactness,0.04172757729038382
TS285,invariant_rf,score_contact,0.02048476718938301
TS285,invariant_rf,score_low_clash,3.0659870459495234e-05
TS285,invariant_rf,score_compact,0.31380099718076865
TS285,invariant_rf,score_hybrid,0.2097128189648441
