heldout_oracle_group,method,targets,mean_best_of_k_tm_like,mean_tm_like_regret,oracle_hit_rate
TS128,invariant_gbr,2,0.12614248780053625,0.12916667947873825,0.0
TS128,invariant_ensemble,2,0.1232560970524985,0.13205307022677598,0.0
TS128,compact,2,0.05556860212502625,0.19974056515424823,0.0
TS128,low_clash,2,0.05480791477005245,0.20050125250922204,0.0
TS128,invariant_rf,2,0.0530884183479078,0.2022207489313667,0.0
TS128,invariant_ridge,2,0.04847013589459445,0.20683903138468004,0.0
TS128,invariant_pairwise,2,0.0421242908122502,0.2131848764670243,0.0
TS128,contact,2,0.0357879631310133,0.2195212041482612,0.0
TS128,hybrid,2,0.0357879631310133,0.2195212041482612,0.0
TS232,invariant_rf,7,0.12747474035844694,0.25205174785583206,0.14285714285714285
TS232,invariant_ensemble,7,0.1136536837241532,0.2658728044901258,0.14285714285714285
TS232,low_clash,7,0.1447630266128188,0.2347634616014602,0.0
TS232,invariant_gbr,7,0.1039153549899846,0.2756111332242944,0.0
TS232,invariant_ridge,7,0.07054721829235676,0.3089792699219222,0.0
TS232,contact,7,0.07040252699331788,0.30912396122096114,0.0
TS232,hybrid,7,0.06631512970264718,0.31321135851163184,0.0
TS232,compact,7,0.06606591024019601,0.313460577974083,0.0
TS232,invariant_pairwise,7,0.04415790793727066,0.3353685802770084,0.0
TS285,invariant_ridge,1,0.0685719769892709,0.012246208953635512,0.0
TS285,invariant_pairwise,1,0.0568951096984086,0.023923076244497805,0.0
TS285,invariant_rf,1,0.0568951096984086,0.023923076244497805,0.0
TS285,contact,1,0.0529940161235115,0.02782416981939491,0.0
TS285,hybrid,1,0.0529940161235115,0.02782416981939491,0.0
TS285,invariant_gbr,1,0.0429445161616395,0.037873669781266904,0.0
TS285,invariant_ensemble,1,0.0405792014197123,0.040238984523194105,0.0
TS285,low_clash,1,0.0387984310738092,0.0420197548690972,0.0
TS285,compact,1,0.0216792294631136,0.05913895647979281,0.0
