method,targets,mean_best_of_k_tm_like,mean_tm_like_regret,oracle_hit_rate,feature_group
invariant_ensemble,10,0.06556521628198766,0.2592469775181532,0.1,geometry
invariant_rf,10,0.053936223416665305,0.27087597038347555,0.1,geometry
invariant_gbr,10,0.053583232142833115,0.2712289616573077,0.1,geometry
low_clash,10,0.11617554469036458,0.20863664910977628,0.0,geometry
invariant_ridge,10,0.09252661792078036,0.2322855758793605,0.0,geometry
invariant_pairwise,10,0.06779721322435651,0.2570149805757843,0.0,geometry
contact,10,0.06173876313387633,0.26307343066626454,0.0,geometry
compact,10,0.059527780539453824,0.265284413260687,0.0,geometry
hybrid,10,0.05887758503040684,0.265934608769734,0.0,geometry
invariant_gbr,10,0.1273156542255075,0.19749653957463337,0.1,topology_only
low_clash,10,0.11617554469036458,0.20863664910977628,0.0,topology_only
invariant_ensemble,10,0.11316596838813212,0.21164622541200875,0.0,topology_only
invariant_rf,10,0.10420870756633498,0.22060348623380585,0.0,topology_only
invariant_ridge,10,0.09463243311336447,0.23017976068677637,0.0,topology_only
contact,10,0.06173876313387633,0.26307343066626454,0.0,topology_only
compact,10,0.059527780539453824,0.265284413260687,0.0,topology_only
hybrid,10,0.05887758503040684,0.265934608769734,0.0,topology_only
invariant_pairwise,10,0.051699782199453,0.2731124116006879,0.0,topology_only
invariant_gbr,10,0.2133662317591766,0.11144596204096424,0.2,contact_topology_only
invariant_ensemble,10,0.18913840806388552,0.13567378573625535,0.2,contact_topology_only
invariant_pairwise,10,0.10386635286762025,0.22094584093252062,0.1,contact_topology_only
invariant_rf,10,0.12729241352508336,0.1975197802750575,0.0,contact_topology_only
low_clash,10,0.11617554469036458,0.20863664910977628,0.0,contact_topology_only
contact,10,0.06173876313387633,0.26307343066626454,0.0,contact_topology_only
invariant_ridge,10,0.060689759970863545,0.2641224338292773,0.0,contact_topology_only
compact,10,0.059527780539453824,0.265284413260687,0.0,contact_topology_only
hybrid,10,0.05887758503040684,0.265934608769734,0.0,contact_topology_only
low_clash,10,0.11617554469036458,0.20863664910977628,0.0,distance_shape_only
invariant_gbr,10,0.0822484241174263,0.24256376968271454,0.0,distance_shape_only
invariant_ridge,10,0.06933322063014581,0.255478973169995,0.0,distance_shape_only
invariant_ensemble,10,0.06695640870191726,0.2578557850982236,0.0,distance_shape_only
contact,10,0.06173876313387633,0.26307343066626454,0.0,distance_shape_only
compact,10,0.059527780539453824,0.265284413260687,0.0,distance_shape_only
hybrid,10,0.05887758503040684,0.265934608769734,0.0,distance_shape_only
invariant_rf,10,0.05501289779861142,0.26979929600152947,0.0,distance_shape_only
invariant_pairwise,10,0.04345876751574208,0.28135342628439874,0.0,distance_shape_only
invariant_rf,10,0.1513901894376109,0.17342200436252994,0.0,target_z_topology_only
low_clash,10,0.11617554469036458,0.20863664910977628,0.0,target_z_topology_only
invariant_ensemble,10,0.11573614107765713,0.2090760527224837,0.0,target_z_topology_only
invariant_gbr,10,0.07741443436489896,0.2473977594352419,0.0,target_z_topology_only
invariant_ridge,10,0.06484283692662277,0.2599693568735181,0.0,target_z_topology_only
contact,10,0.06173876313387633,0.26307343066626454,0.0,target_z_topology_only
invariant_pairwise,10,0.060985740981832,0.26382645281830885,0.0,target_z_topology_only
compact,10,0.059527780539453824,0.265284413260687,0.0,target_z_topology_only
hybrid,10,0.05887758503040684,0.265934608769734,0.0,target_z_topology_only
invariant_rf,10,0.1055395128903353,0.21927268090980556,0.1,geometry_plus_topology
low_clash,10,0.11617554469036458,0.20863664910977628,0.0,geometry_plus_topology
invariant_ensemble,10,0.1078827389200386,0.21692945488010223,0.0,geometry_plus_topology
invariant_gbr,10,0.10226369766926043,0.22254849613088043,0.0,geometry_plus_topology
invariant_ridge,10,0.06593427768249571,0.25887791611764516,0.0,geometry_plus_topology
contact,10,0.06173876313387633,0.26307343066626454,0.0,geometry_plus_topology
compact,10,0.059527780539453824,0.265284413260687,0.0,geometry_plus_topology
hybrid,10,0.05887758503040684,0.265934608769734,0.0,geometry_plus_topology
invariant_pairwise,10,0.05389462138127528,0.2709175724188656,0.0,geometry_plus_topology
