comparison,left,right,metric,mean,ci_low,ci_high
geometry_ensemble_vs_contact_topology_gbr,geometry_table:invariant_ensemble,contact_topology_only:invariant_gbr,left_mean_best_of_k,0.06596072343942168,0.031965926313469874,0.11787833589845119
geometry_ensemble_vs_contact_topology_gbr,geometry_table:invariant_ensemble,contact_topology_only:invariant_gbr,right_mean_best_of_k,0.21320277186826597,0.13333350336431593,0.28792802362146075
geometry_ensemble_vs_contact_topology_gbr,geometry_table:invariant_ensemble,contact_topology_only:invariant_gbr,delta_mean_best_of_k,0.14724204842884428,0.0759431075976646,0.21761458276742454
geometry_ensemble_vs_contact_topology_gbr,geometry_table:invariant_ensemble,contact_topology_only:invariant_gbr,left_oracle_hit_rate,0.10025000000000002,0.0,0.3
geometry_ensemble_vs_contact_topology_gbr,geometry_table:invariant_ensemble,contact_topology_only:invariant_gbr,right_oracle_hit_rate,0.20260000000000003,0.0,0.5
geometry_ensemble_vs_contact_topology_gbr,geometry_table:invariant_ensemble,contact_topology_only:invariant_gbr,delta_oracle_hit_rate,0.10235,-0.2,0.4
geometry_gbr_vs_contact_topology_gbr,geometry_table:invariant_gbr,contact_topology_only:invariant_gbr,left_mean_best_of_k,0.05366022643518387,0.04254089864408988,0.06634946000605708
geometry_gbr_vs_contact_topology_gbr,geometry_table:invariant_gbr,contact_topology_only:invariant_gbr,right_mean_best_of_k,0.21298701153555816,0.1334550086784577,0.28686851278434344
geometry_gbr_vs_contact_topology_gbr,geometry_table:invariant_gbr,contact_topology_only:invariant_gbr,delta_mean_best_of_k,0.15932678510037432,0.07658770697347234,0.23815202905409882
geometry_gbr_vs_contact_topology_gbr,geometry_table:invariant_gbr,contact_topology_only:invariant_gbr,left_oracle_hit_rate,0.09910000000000001,0.0,0.3
geometry_gbr_vs_contact_topology_gbr,geometry_table:invariant_gbr,contact_topology_only:invariant_gbr,right_oracle_hit_rate,0.20215000000000002,0.0,0.5
geometry_gbr_vs_contact_topology_gbr,geometry_table:invariant_gbr,contact_topology_only:invariant_gbr,delta_oracle_hit_rate,0.10305,-0.2,0.4
low_clash_vs_contact_topology_gbr,geometry_table:low_clash,contact_topology_only:invariant_gbr,left_mean_best_of_k,0.1170688298985217,0.06246846298164653,0.1789927778575177
low_clash_vs_contact_topology_gbr,geometry_table:low_clash,contact_topology_only:invariant_gbr,right_mean_best_of_k,0.21397491325529752,0.1348801512850431,0.28637569409967256
low_clash_vs_contact_topology_gbr,geometry_table:low_clash,contact_topology_only:invariant_gbr,delta_mean_best_of_k,0.0969060833567758,0.023363845197434965,0.18248540633066992
low_clash_vs_contact_topology_gbr,geometry_table:low_clash,contact_topology_only:invariant_gbr,left_oracle_hit_rate,0.0,0.0,0.0
low_clash_vs_contact_topology_gbr,geometry_table:low_clash,contact_topology_only:invariant_gbr,right_oracle_hit_rate,0.20105,0.0,0.5
low_clash_vs_contact_topology_gbr,geometry_table:low_clash,contact_topology_only:invariant_gbr,delta_oracle_hit_rate,0.20105,0.0,0.5
geometry_ensemble_vs_all_topology_ensemble,geometry_table:invariant_ensemble,geometry_plus_topology:invariant_ensemble,left_mean_best_of_k,0.06613976188490052,0.0317750404973683,0.11583741287768669
geometry_ensemble_vs_all_topology_ensemble,geometry_table:invariant_ensemble,geometry_plus_topology:invariant_ensemble,right_mean_best_of_k,0.1076826087027533,0.05595877480637531,0.18123617165665573
geometry_ensemble_vs_all_topology_ensemble,geometry_table:invariant_ensemble,geometry_plus_topology:invariant_ensemble,delta_mean_best_of_k,0.04154284681785278,-0.0441571418702203,0.13278797150883978
geometry_ensemble_vs_all_topology_ensemble,geometry_table:invariant_ensemble,geometry_plus_topology:invariant_ensemble,left_oracle_hit_rate,0.10210000000000001,0.0,0.3
geometry_ensemble_vs_all_topology_ensemble,geometry_table:invariant_ensemble,geometry_plus_topology:invariant_ensemble,right_oracle_hit_rate,0.0,0.0,0.0
geometry_ensemble_vs_all_topology_ensemble,geometry_table:invariant_ensemble,geometry_plus_topology:invariant_ensemble,delta_oracle_hit_rate,-0.10210000000000001,-0.3,0.0
