method,targets,mean_best_of_k_tm_like,mean_tm_like_regret,oracle_hit_rate,feature_group
invariant_ensemble,10,0.06556521628198766,0.2592469775181532,0.1,geometry
invariant_rf,10,0.053936223416665305,0.27087597038347555,0.1,geometry
invariant_gbr,10,0.053583232142833115,0.2712289616573077,0.1,geometry
low_clash,10,0.11617554469036458,0.20863664910977628,0.0,geometry
invariant_ridge,10,0.09252661792078036,0.2322855758793605,0.0,geometry
contact,10,0.06173876313387633,0.26307343066626454,0.0,geometry
invariant_pairwise,10,0.061147735262028394,0.26366445853811243,0.0,geometry
compact,10,0.059527780539453824,0.265284413260687,0.0,geometry
hybrid,10,0.05887758503040684,0.265934608769734,0.0,geometry
invariant_gbr,10,0.1622075337472636,0.16260466005287727,0.1,topology_only
invariant_ensemble,10,0.15061265422858144,0.17419953957155943,0.1,topology_only
invariant_rf,10,0.10895881778435415,0.21585337601578672,0.1,topology_only
low_clash,10,0.11617554469036458,0.20863664910977628,0.0,topology_only
invariant_ridge,10,0.11205438948798711,0.21275780431215371,0.0,topology_only
contact,10,0.06173876313387633,0.26307343066626454,0.0,topology_only
compact,10,0.059527780539453824,0.265284413260687,0.0,topology_only
hybrid,10,0.05887758503040684,0.265934608769734,0.0,topology_only
invariant_pairwise,10,0.05096868822449322,0.2738435055756476,0.0,topology_only
invariant_ensemble,10,0.15325697217435155,0.17155522162578932,0.2,contact_topology_only
invariant_rf,10,0.12895954440142832,0.19585264939871255,0.2,contact_topology_only
invariant_gbr,10,0.13608954085494407,0.1887226529451968,0.1,contact_topology_only
invariant_pairwise,10,0.11040230192923602,0.21440989187090484,0.1,contact_topology_only
low_clash,10,0.11617554469036458,0.20863664910977628,0.0,contact_topology_only
contact,10,0.06173876313387633,0.26307343066626454,0.0,contact_topology_only
invariant_ridge,10,0.06009510040607785,0.26471709339406296,0.0,contact_topology_only
compact,10,0.059527780539453824,0.265284413260687,0.0,contact_topology_only
hybrid,10,0.05887758503040684,0.265934608769734,0.0,contact_topology_only
low_clash,10,0.11617554469036458,0.20863664910977628,0.0,distance_shape_only
invariant_gbr,10,0.0822484241174263,0.24256376968271454,0.0,distance_shape_only
invariant_ridge,10,0.06933322063014581,0.255478973169995,0.0,distance_shape_only
invariant_ensemble,10,0.06695640870191726,0.2578557850982236,0.0,distance_shape_only
contact,10,0.06173876313387633,0.26307343066626454,0.0,distance_shape_only
compact,10,0.059527780539453824,0.265284413260687,0.0,distance_shape_only
hybrid,10,0.05887758503040684,0.265934608769734,0.0,distance_shape_only
invariant_rf,10,0.05501289779861142,0.26979929600152947,0.0,distance_shape_only
invariant_pairwise,10,0.05276633226805879,0.2720458615320821,0.0,distance_shape_only
invariant_rf,10,0.14533636667129293,0.17947582712884794,0.0,target_z_topology_only
low_clash,10,0.11617554469036458,0.20863664910977628,0.0,target_z_topology_only
invariant_ridge,10,0.09731601255760883,0.22749618124253201,0.0,target_z_topology_only
invariant_ensemble,10,0.08150299812335952,0.2433091956767813,0.0,target_z_topology_only
invariant_pairwise,10,0.08036704890806708,0.24444514489207378,0.0,target_z_topology_only
contact,10,0.06173876313387633,0.26307343066626454,0.0,target_z_topology_only
invariant_gbr,10,0.06056083993752935,0.2642513538626115,0.0,target_z_topology_only
compact,10,0.059527780539453824,0.265284413260687,0.0,target_z_topology_only
hybrid,10,0.05887758503040684,0.265934608769734,0.0,target_z_topology_only
invariant_gbr,10,0.13012423844724444,0.19468795535289643,0.1,geometry_plus_topology
invariant_ensemble,10,0.1039460404728743,0.22086615332726653,0.1,geometry_plus_topology
invariant_rf,10,0.10340516730742202,0.22140702649271882,0.1,geometry_plus_topology
low_clash,10,0.11617554469036458,0.20863664910977628,0.0,geometry_plus_topology
invariant_ridge,10,0.10439838835530395,0.22041380544483694,0.0,geometry_plus_topology
contact,10,0.06173876313387633,0.26307343066626454,0.0,geometry_plus_topology
compact,10,0.059527780539453824,0.265284413260687,0.0,geometry_plus_topology
hybrid,10,0.05887758503040684,0.265934608769734,0.0,geometry_plus_topology
invariant_pairwise,10,0.04104084973112645,0.2837713440690144,0.0,geometry_plus_topology
