comparison,left,right,metric,mean,ci_low,ci_high
geometry_ensemble_vs_contact_topology_gbr,geometry_table:invariant_ensemble,contact_topology_only:invariant_gbr,left_mean_best_of_k,0.06500537541632781,0.032143162629593124,0.11423088407936235
geometry_ensemble_vs_contact_topology_gbr,geometry_table:invariant_ensemble,contact_topology_only:invariant_gbr,right_mean_best_of_k,0.1374883486433897,0.07741720512720038,0.20720151427184308
geometry_ensemble_vs_contact_topology_gbr,geometry_table:invariant_ensemble,contact_topology_only:invariant_gbr,delta_mean_best_of_k,0.07248297322706189,-0.008332305254073342,0.16355815087895975
geometry_ensemble_vs_contact_topology_gbr,geometry_table:invariant_ensemble,contact_topology_only:invariant_gbr,left_oracle_hit_rate,0.09765,0.0,0.3
geometry_ensemble_vs_contact_topology_gbr,geometry_table:invariant_ensemble,contact_topology_only:invariant_gbr,right_oracle_hit_rate,0.103,0.0,0.3
geometry_ensemble_vs_contact_topology_gbr,geometry_table:invariant_ensemble,contact_topology_only:invariant_gbr,delta_oracle_hit_rate,0.0053500000000000015,-0.3,0.3
geometry_gbr_vs_contact_topology_gbr,geometry_table:invariant_gbr,contact_topology_only:invariant_gbr,left_mean_best_of_k,0.053518577842667475,0.04211700779964818,0.06601705958245054
geometry_gbr_vs_contact_topology_gbr,geometry_table:invariant_gbr,contact_topology_only:invariant_gbr,right_mean_best_of_k,0.13700704278332682,0.07660289362990141,0.20500745858880381
geometry_gbr_vs_contact_topology_gbr,geometry_table:invariant_gbr,contact_topology_only:invariant_gbr,delta_mean_best_of_k,0.08348846494065935,0.017370710601997342,0.1587599259362623
geometry_gbr_vs_contact_topology_gbr,geometry_table:invariant_gbr,contact_topology_only:invariant_gbr,left_oracle_hit_rate,0.10165,0.0,0.3
geometry_gbr_vs_contact_topology_gbr,geometry_table:invariant_gbr,contact_topology_only:invariant_gbr,right_oracle_hit_rate,0.10185000000000001,0.0,0.3
geometry_gbr_vs_contact_topology_gbr,geometry_table:invariant_gbr,contact_topology_only:invariant_gbr,delta_oracle_hit_rate,0.00020000000000000017,-0.3,0.3
low_clash_vs_contact_topology_gbr,geometry_table:low_clash,contact_topology_only:invariant_gbr,left_mean_best_of_k,0.1134401852298381,0.05894580386296364,0.17489689912881398
low_clash_vs_contact_topology_gbr,geometry_table:low_clash,contact_topology_only:invariant_gbr,right_mean_best_of_k,0.13430677778237937,0.07408981063150084,0.20434522122641882
low_clash_vs_contact_topology_gbr,geometry_table:low_clash,contact_topology_only:invariant_gbr,delta_mean_best_of_k,0.020866592552541283,-0.052025995113544936,0.08450940601436875
low_clash_vs_contact_topology_gbr,geometry_table:low_clash,contact_topology_only:invariant_gbr,left_oracle_hit_rate,0.0,0.0,0.0
low_clash_vs_contact_topology_gbr,geometry_table:low_clash,contact_topology_only:invariant_gbr,right_oracle_hit_rate,0.09525,0.0,0.3
low_clash_vs_contact_topology_gbr,geometry_table:low_clash,contact_topology_only:invariant_gbr,delta_oracle_hit_rate,0.09525,0.0,0.3
geometry_ensemble_vs_all_topology_ensemble,geometry_table:invariant_ensemble,geometry_plus_topology:invariant_ensemble,left_mean_best_of_k,0.06564529051371673,0.0314606877880681,0.11806302693175091
geometry_ensemble_vs_all_topology_ensemble,geometry_table:invariant_ensemble,geometry_plus_topology:invariant_ensemble,right_mean_best_of_k,0.10418759432454462,0.049878505490831324,0.17386920414395
geometry_ensemble_vs_all_topology_ensemble,geometry_table:invariant_ensemble,geometry_plus_topology:invariant_ensemble,delta_mean_best_of_k,0.038542303810827884,-0.03457900530192028,0.12362279852013176
geometry_ensemble_vs_all_topology_ensemble,geometry_table:invariant_ensemble,geometry_plus_topology:invariant_ensemble,left_oracle_hit_rate,0.09625000000000002,0.0,0.3
geometry_ensemble_vs_all_topology_ensemble,geometry_table:invariant_ensemble,geometry_plus_topology:invariant_ensemble,right_oracle_hit_rate,0.09925,0.0,0.3
geometry_ensemble_vs_all_topology_ensemble,geometry_table:invariant_ensemble,geometry_plus_topology:invariant_ensemble,delta_oracle_hit_rate,0.003000000000000001,-0.3,0.3
