target_id,candidates,labelled,unlabelled,coverage
1EHZ,35,35,0,1.0
1F7Y,35,35,0,1.0
1J8G,35,35,0,1.0
1L2X,16,16,0,1.0
1PJO,35,35,0,1.0
1Q9A,35,35,0,1.0
1XJR,35,35,0,1.0
1ZIH,35,35,0,1.0
2GDI,35,35,0,1.0
2GIS,21,21,0,1.0
2KOC,35,35,0,1.0
2OIU,35,35,0,1.0
2Q1O,35,35,0,1.0
3D2V,35,35,0,1.0
3DVZ,35,35,0,1.0
3DW4,35,35,0,1.0
3DW5,35,35,0,1.0
3DW6,35,35,0,1.0
3DW7,35,35,0,1.0
3S7C,35,35,0,1.0
483D,35,35,0,1.0
4JRD,35,35,0,1.0
4NLF,35,35,0,1.0
4NMG,35,35,0,1.0
4RBQ,35,35,0,1.0
4RNE,35,35,0,1.0
4Y27,35,35,0,1.0
5D99,35,35,0,1.0
5DA6,35,35,0,1.0
5MRX,35,35,0,1.0
5NQI,35,35,0,1.0
5V2H,35,35,0,1.0
6Y0Y,35,35,0,1.0
6ZYB,35,35,0,1.0
7L3R,35,35,0,1.0
7QP2,35,35,0,1.0
7QSH,35,35,0,1.0
7UCR,35,35,0,1.0
8PFQ,35,35,0,1.0
8QMH,35,35,0,1.0
