oracle_type,method,targets,mean_best_of_k_tm_like,mean_best_of_k_multi_metric,mean_tm_like_regret,mean_multi_metric_regret,mean_rmsd_regret,oracle_hit_rate
tm_like,low_clash,40,0.5761293049354943,0.586190191199101,0.15156440948721508,0.10219369665749496,0.34462821631316004,0.45
multi_metric,low_clash,40,0.5749729924046123,0.5867925189695863,0.1527207220180971,0.10159136888700959,0.350656545635711,0.45
tm_like,plausibility,40,0.515576418656596,0.5404206012943318,0.21211729576611354,0.14796328656226415,1.1164402271326996,0.35
multi_metric,plausibility,40,0.515576418656596,0.5404206012943318,0.21211729576611354,0.14796328656226415,1.1164402271326996,0.35
tm_like,hybrid,40,0.22230365483703,0.32953112837941084,0.5053900595856795,0.3588527594771851,3.2476797562062885,0.075
multi_metric,hybrid,40,0.22189103924583894,0.32980975375344196,0.5058026751768705,0.358574134103154,3.267236081294366,0.075
tm_like,compact,40,0.19083530457190223,0.30302290560481643,0.5368584098508072,0.3853609822517795,3.4544082233777784,0.025
multi_metric,compact,40,0.19008364946938633,0.30330387610323656,0.5376100649533232,0.3850800117533594,3.7583001640848073,0.025
tm_like,contact,40,0.17451700590982241,0.2907910360533992,0.553176708512887,0.3975928518031967,3.5787268713300073,0.0
multi_metric,contact,40,0.17365931496223025,0.2915722763175389,0.5540343994604793,0.39681161153905703,3.6332043275343935,0.0
