method,k,hit@k,random_hit@k,delta,delta_low,delta_high,p_value,survives_holm,targets
hybrid,1,0.0,0.029895833333333333,-0.029895833333333333,-0.032068452380952385,-0.02857142857142857,1.0,False,40
hybrid,2,0.0,0.05979166666666667,-0.05979166666666667,-0.06413690476190477,-0.05714285714285714,1.0,False,40
hybrid,5,0.07500000000000001,0.14947916666666666,-0.07447916666666665,-0.14285714285714285,0.012276785714285731,0.9654017299135044,False,40
hybrid,10,0.325,0.2989583333333333,0.026041666666666692,-0.11547619047619044,0.1642857142857143,0.35633218339083045,False,40
hybrid,20,1.0,0.5916666666666666,0.4083333333333334,0.3773809523809525,0.42857142857142866,4.999750012499375e-05,True,40
hybrid,25,1.0,0.7285714285714286,0.2714285714285714,0.25,0.2857142857142857,4.999750012499375e-05,True,40
hybrid,50,1.0,1.0,0.0,0.0,0.0,1.0,False,40
hybrid,75,1.0,1.0,0.0,0.0,0.0,1.0,False,40
hybrid,100,1.0,1.0,0.0,0.0,0.0,1.0,False,40
contact,1,0.0,0.029895833333333333,-0.029895833333333333,-0.032068452380952385,-0.02857142857142857,1.0,False,40
contact,2,0.0,0.05979166666666667,-0.05979166666666667,-0.06413690476190477,-0.05714285714285714,1.0,False,40
contact,5,0.0,0.14947916666666666,-0.14947916666666666,-0.1603422619047619,-0.14285714285714285,1.0,False,40
contact,10,0.12500000000000003,0.2989583333333333,-0.1739583333333333,-0.2607142857142857,-0.0749851190476191,0.9996500174991251,False,40
contact,20,1.0,0.5916666666666666,0.4083333333333334,0.37738095238095243,0.42857142857142866,4.999750012499375e-05,True,40
contact,25,1.0,0.7285714285714286,0.2714285714285714,0.25,0.2857142857142857,4.999750012499375e-05,True,40
contact,50,1.0,1.0,0.0,0.0,0.0,1.0,False,40
contact,75,1.0,1.0,0.0,0.0,0.0,1.0,False,40
contact,100,1.0,1.0,0.0,0.0,0.0,1.0,False,40
low_clash,1,0.07608433233433233,0.029895833333333333,0.046188499000999,0.028401431901431903,0.06496580762987011,4.999750012499375e-05,True,40
low_clash,2,0.15994644244644246,0.05979166666666667,0.10015477577977579,0.0652782425907426,0.13367691683316682,4.999750012499375e-05,True,40
low_clash,5,0.47909229659229663,0.14947916666666666,0.32961312992562997,0.24715416527916528,0.41635526192557437,4.999750012499375e-05,True,40
low_clash,10,0.8678671328671329,0.2989583333333333,0.5689087995337996,0.49036799138361636,0.6365406988844489,4.999750012499375e-05,True,40
low_clash,20,0.975,0.5916666666666666,0.3833333333333334,0.3213988095238096,0.42857142857142866,4.999750012499375e-05,True,40
low_clash,25,1.0,0.7285714285714286,0.2714285714285714,0.25,0.2857142857142857,4.999750012499375e-05,True,40
low_clash,50,1.0,1.0,0.0,0.0,0.0,1.0,False,40
low_clash,75,1.0,1.0,0.0,0.0,0.0,1.0,False,40
low_clash,100,1.0,1.0,0.0,0.0,0.0,1.0,False,40
compact,1,0.0,0.029895833333333333,-0.029895833333333333,-0.032068452380952385,-0.02857142857142857,1.0,False,40
compact,2,0.0,0.05979166666666667,-0.05979166666666667,-0.06413690476190477,-0.05714285714285714,1.0,False,40
compact,5,0.02500000000000001,0.14947916666666666,-0.12447916666666665,-0.15558035714285712,-0.0693452380952381,1.0,False,40
compact,10,0.2,0.2989583333333333,-0.0989583333333333,-0.2107142857142857,0.020264136904761768,0.944002799860007,False,40
compact,20,0.975,0.5916666666666666,0.3833333333333334,0.3214285714285715,0.42857142857142866,4.999750012499375e-05,True,40
compact,25,1.0,0.7285714285714286,0.2714285714285714,0.25,0.2857142857142857,4.999750012499375e-05,True,40
compact,50,1.0,1.0,0.0,0.0,0.0,1.0,False,40
compact,75,1.0,1.0,0.0,0.0,0.0,1.0,False,40
compact,100,1.0,1.0,0.0,0.0,0.0,1.0,False,40
plausibility,1,0.0,0.029895833333333333,-0.029895833333333333,-0.032068452380952385,-0.02857142857142857,1.0,False,40
plausibility,2,0.05,0.05979166666666667,-0.009791666666666666,-0.061488095238095244,0.06616071428571427,0.6735163241837908,False,40
plausibility,5,0.3500000000000001,0.14947916666666666,0.2005208333333334,0.04866071428571432,0.35290178571428577,0.006949652517374131,False,40
plausibility,10,0.75,0.2989583333333333,0.4510416666666667,0.309077380952381,0.5793526785714284,4.999750012499375e-05,True,40
plausibility,20,1.0,0.5916666666666666,0.4083333333333334,0.3773809523809525,0.42857142857142866,4.999750012499375e-05,True,40
plausibility,25,1.0,0.7285714285714286,0.2714285714285714,0.25,0.2857142857142857,4.999750012499375e-05,True,40
plausibility,50,1.0,1.0,0.0,0.0,0.0,1.0,False,40
plausibility,75,1.0,1.0,0.0,0.0,0.0,1.0,False,40
plausibility,100,1.0,1.0,0.0,0.0,0.0,1.0,False,40
