target_id,method,candidate_sources,oracle_source,selected_top1_source,selected_top5_source_count,oracle_source_in_selected
1EHZ,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
1EHZ,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
1EHZ,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
1EHZ,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
1EHZ,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
1F7Y,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
1F7Y,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
1F7Y,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
1F7Y,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
1F7Y,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
1J8G,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
1J8G,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
1J8G,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
1J8G,compact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
1J8G,plausibility,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,1,True
1L2X,hybrid,synthetic_decoy:15;template:1,synthetic_decoy,synthetic_decoy,2,True
1L2X,contact,synthetic_decoy:15;template:1,synthetic_decoy,synthetic_decoy,2,True
1L2X,low_clash,synthetic_decoy:15;template:1,synthetic_decoy,synthetic_decoy,1,True
1L2X,compact,synthetic_decoy:15;template:1,synthetic_decoy,synthetic_decoy,2,True
1L2X,plausibility,synthetic_decoy:15;template:1,synthetic_decoy,synthetic_decoy,1,True
1PJO,hybrid,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
1PJO,contact,synthetic_decoy:30;template:5,synthetic_decoy,synthetic_decoy,2,True
1PJO,low_clash,synthetic_decoy:30;template:5,synthetic_decoy,template,2,True
