condition,target_id,method,oracle_candidate,oracle_group,oracle_tm_like,selected_top1_candidate,selected_top1_group,selected_best_in_top5_candidate,selected_best_group,best_of_5_tm_like,tm_like_regret,oracle_in_top5,repeat
shuffled_group,R1107,hybrid,casp15_R1107TS232_1,TS054,0.3176528586447821,casp15_R1107TS285_3,TS285,casp15_R1107TS054_4,TS163,0.1191397753415253,0.1985130833032568,False,0
shuffled_group,R1107,compact,casp15_R1107TS232_1,TS054,0.3176528586447821,casp15_R1107TS285_3,TS285,casp15_R1107TS125_1,TS416,0.120924050831857,0.1967288078129251,False,0
shuffled_group,R1107,low_clash,casp15_R1107TS232_1,TS054,0.3176528586447821,casp15_R1107TS029_1,TS035,casp15_R1107TS287_4,TS439,0.1603577049038492,0.1572951537409329,False,0
shuffled_group,R1107,contact,casp15_R1107TS232_1,TS054,0.3176528586447821,casp15_R1107TS285_3,TS285,casp15_R1107TS054_4,TS163,0.1191397753415253,0.1985130833032568,False,0
shuffled_group,R1107,group_mean,casp15_R1107TS232_1,TS054,0.3176528586447821,casp15_R1107TS245_4,TS416,casp15_R1107TS125_1,TS416,0.120924050831857,0.1967288078129251,False,0
shuffled_group,R1107,group_oracle_rate,casp15_R1107TS232_1,TS054,0.3176528586447821,casp15_R1107TS091_4,TS125,casp15_R1107TS081_1,TS125,0.0390471215959312,0.2786057370488509,False,0
shuffled_group,R1107,group_calibrated_hybrid,casp15_R1107TS232_1,TS054,0.3176528586447821,casp15_R1107TS054_5,TS128,casp15_R1107TS232_2,TS091,0.2774254519771812,0.040227406667600885,False,0
shuffled_group,R1108,hybrid,casp15_R1108TS232_4,TS125,0.3262421322933785,casp15_R1108TS385_4,TS287,casp15_R1108TS489_5,TS285,0.0832001107027511,0.2430420215906274,False,0
shuffled_group,R1108,compact,casp15_R1108TS232_4,TS125,0.3262421322933785,casp15_R1108TS385_4,TS287,casp15_R1108TS489_5,TS285,0.0832001107027511,0.2430420215906274,False,0
shuffled_group,R1108,low_clash,casp15_R1108TS232_4,TS125,0.3262421322933785,casp15_R1108TS029_1,TS287,casp15_R1108TS287_4,TS119,0.198204634662693,0.1280374976306855,False,0
shuffled_group,R1108,contact,casp15_R1108TS232_4,TS125,0.3262421322933785,casp15_R1108TS385_4,TS287,casp15_R1108TS489_5,TS285,0.0832001107027511,0.2430420215906274,False,0
shuffled_group,R1108,group_mean,casp15_R1108TS232_4,TS125,0.3262421322933785,casp15_R1108TS385_5,TS416,casp15_R1108TS128_3,TS416,0.2310399906933972,0.0952021415999813,False,0
shuffled_group,R1108,group_oracle_rate,casp15_R1108TS232_4,TS125,0.3262421322933785,casp15_R1108TS470_1,TS054,casp15_R1108TS470_1,TS054,0.2579254165254784,0.0683167157679001,False,0
